source_file,source_line,import_type,module,imported_name,alias,status,details,is_used
C:\00Projects\engineering_items_attributes_enrichment\main.py,1,import,torch,,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\deployment\setup.py,1,from_import,setuptools,setup,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\deployment\setup.py,1,from_import,setuptools,find_packages,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,5,import,os,,,external,Standard library: os,False
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,6,import,sys,,,external,Built-in module: sys,False
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,7,from_import,pathlib,Path,,external,Standard library: pathlib,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,8,import,requests,,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,9,from_import,tqdm,tqdm,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,7,import,os,,,external,Standard library: os,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,8,import,sys,,,external,Built-in module: sys,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,9,import,subprocess,,,external,Standard library: subprocess,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,10,from_import,pathlib,Path,,external,Standard library: pathlib,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,11,import,shutil,,,external,External library,False
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,5,import,sys,,,external,Built-in module: sys,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,6,import,importlib,,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,7,from_import,pathlib,Path,,external,Standard library: pathlib,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,11,from_import,src.drawing_intelligence.orchestration,PipelineOrchestrator,,missing,Symbol 'PipelineOrchestrator' NOT FOUND,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,12,from_import,src.drawing_intelligence.database,DatabaseManager,,missing,Symbol 'DatabaseManager' NOT FOUND,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,13,from_import,src.drawing_intelligence.models,ProcessingResult,,missing,Symbol 'ProcessingResult' NOT FOUND,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,14,from_import,src.drawing_intelligence.export,ExportManager,,missing,Symbol 'ExportManager' NOT FOUND,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,15,import,json,,,external,Standard library: json,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,16,import,logging,,,external,Standard library: logging,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,17,import,os,,,external,Standard library: os,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,18,import,shutil,,,external,External library,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,19,from_import,abc,ABC,,external,Standard library: abc,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,19,from_import,abc,abstractmethod,,external,Standard library: abc,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,20,from_import,dataclasses,dataclass,,external,Standard library: dataclasses,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,20,from_import,dataclasses,field,,external,Standard library: dataclasses,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,21,from_import,enum,Enum,,external,Standard library: enum,True
