source_file,source_line,scope,variable_name,is_used
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,11,module,MODEL_URLS,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,20,function:download_file,response,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,21,function:download_file,total_size,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,32,function:main,models_dir,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,38,function:main,destination,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,25,function:check_python_version,version,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,40,function:create_directories,directories,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,53,function:create_directories,path,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,71,function:install_dependencies,response,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,90,function:setup_configuration,config_file,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,94,function:setup_configuration,response,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,100,function:setup_configuration,default_config,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,215,function:setup_environment_variables,env_vars,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,222,function:setup_environment_variables,current,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,244,function:download_models_prompt,response,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,258,function:run_tests,response,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,264,function:run_tests,result,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,9,module,REQUIRED_PACKAGES,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,27,function:check_python_version,version,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,37,function:check_dependencies,missing,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,50,function:check_structure,required_dirs,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,51,function:check_structure,missing,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,66,function:main,all_valid,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,70,function:main,all_valid,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,75,function:main,all_valid,True
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,81,function:main,all_valid,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,7,module,__version__,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,8,module,__author__,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\__init__.py,16,module,__all__,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,28,module,logger,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,39,class:ValidationProfile,PERMISSIVE,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,40,class:ValidationProfile,STANDARD,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,41,class:ValidationProfile,STRICT,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,47,class:ProviderName,OPENAI,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,48,class:ProviderName,ANTHROPIC,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,49,class:ProviderName,GOOGLE,False
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,53,module,MIN_MODEL_SIZE_MB,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,54,module,MAX_MODEL_SIZE_MB,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,55,module,MIN_DISK_SPACE_MB,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,58,module,MIN_API_KEY_LENGTH,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,59,module,MIN_GOOGLE_KEY_LENGTH,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,62,module,FAKE_KEY_PATTERNS,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,119,class:ValidationResult,is_valid,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,120,class:ValidationResult,errors,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,121,class:ValidationResult,warnings,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,122,class:ValidationResult,info,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,200,PathValidator.validate,errors,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,201,PathValidator.validate,warnings,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,204,PathValidator.validate,paths,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,209,PathValidator.validate,auto_create_paths,True
C:\00Projects\engineering_items_attributes_enrichment\src\drawing_intelligence\cli\config_validator.py,224,PathValidator.validate,required_paths,True
