source_file,source_line,caller_module,caller_name,callee_path,status,confidence
C:\00Projects\engineering_items_attributes_enrichment\main.py,3,main,<module:main>,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\deployment\setup.py,3,deployment.setup,<module:deployment.setup>,setuptools.setup,external,high
C:\00Projects\engineering_items_attributes_enrichment\deployment\setup.py,7,deployment.setup,<module:deployment.setup>,setuptools.find_packages,external,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,20,scripts.download_models,download_file,requests.get,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\download_models.py,21,scripts.download_models,download_file,<builtin>.int,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,16,scripts.setup_environment,print_header,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,17,scripts.setup_environment,print_header,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,18,scripts.setup_environment,print_header,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,23,scripts.setup_environment,check_python_version,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,26,scripts.setup_environment,check_python_version,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,29,scripts.setup_environment,check_python_version,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,32,scripts.setup_environment,check_python_version,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,38,scripts.setup_environment,create_directories,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,53,scripts.setup_environment,create_directories,pathlib.Path,external,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,54,scripts.setup_environment,create_directories,path.exists,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,55,scripts.setup_environment,create_directories,path.mkdir,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,56,scripts.setup_environment,create_directories,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,58,scripts.setup_environment,create_directories,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,63,scripts.setup_environment,install_dependencies,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,65,scripts.setup_environment,install_dependencies,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,66,scripts.setup_environment,install_dependencies,subprocess.run,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,71,scripts.setup_environment,install_dependencies,<builtin>.input,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,72,scripts.setup_environment,install_dependencies,response.lower,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,73,scripts.setup_environment,install_dependencies,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,74,scripts.setup_environment,install_dependencies,subprocess.run,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,88,scripts.setup_environment,setup_configuration,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,90,scripts.setup_environment,setup_configuration,pathlib.Path,external,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,92,scripts.setup_environment,setup_configuration,config_file.exists,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,93,scripts.setup_environment,setup_configuration,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,94,scripts.setup_environment,setup_configuration,<builtin>.input,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,95,scripts.setup_environment,setup_configuration,response.lower,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,96,scripts.setup_environment,setup_configuration,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,203,scripts.setup_environment,setup_configuration,<builtin>.open,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,204,scripts.setup_environment,setup_configuration,f.write,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,206,scripts.setup_environment,setup_configuration,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,211,scripts.setup_environment,setup_environment_variables,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,213,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,221,scripts.setup_environment,setup_environment_variables,env_vars.items,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,222,scripts.setup_environment,setup_environment_variables,os.getenv,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,224,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,226,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,228,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,229,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,230,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,231,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,236,scripts.setup_environment,download_models_prompt,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,238,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,239,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,240,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,241,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,242,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,244,scripts.setup_environment,download_models_prompt,<builtin>.input,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,247,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,249,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,251,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,256,scripts.setup_environment,run_tests,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,258,scripts.setup_environment,run_tests,<builtin>.input,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,259,scripts.setup_environment,run_tests,response.lower,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,260,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,263,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,264,scripts.setup_environment,run_tests,subprocess.run,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,267,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,269,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,274,scripts.setup_environment,print_summary,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,276,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,277,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,278,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,279,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,281,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,282,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,284,scripts.setup_environment,print_summary,<builtin>.print,exists,high
